조사지번호,조사지명,설치일,수거일,수령,수고,수관올폐도,관목피복도,피복도초본율,낙엽피복도,암반피복도,고사목피복도,낙엽층두께,위도,경도,임종명,주요수종명,임상명,해발고도,방향,경사,강수량,일사량,한랭지수,온량지수,평균온도,최저온도,최고온도,식생지수,강,목,과,개체수,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,갑각,등각,쥐며느리,65,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,거미,거미,,27,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,딱정벌레,딱정벌레,1,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,딱정벌레,반날개,3,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,딱정벌레,,7,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,매미,,1,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,메뚜기,곱등이,10,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,벌,개미,82,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,벌,,3,
284,충남 서산시 팔봉면 금학리 팔봉산 입구,20090704,20090723,60-70년,15m정도,60,52,26,94,7,11,9,36 48 51.3,126 22 06.0,자연림,소나무,,115,5,18,1192,13,-18,94,11,-8,30,4331,곤충,톡토기,,9,
